Date,Open,High,Low,Close,Volume,Adj Close
2016-07-29,104.190002,104.550003,103.68,104.209999,27506800,104.209999
2016-07-28,102.830002,104.449997,102.82,104.339996,38406300,104.339996
2016-07-27,104.269997,104.349998,102.75,102.949997,90898300,102.949997
2016-07-26,96.82,97.970001,96.419998,96.669998,42342400,96.669998
2016-07-25,98.25,98.839996,96.919998,97.339996,40144400,97.339996
2016-07-22,99.260002,99.300003,98.309998,98.660004,28177200,98.660004
2016-07-21,99.830002,101.00,99.129997,99.43,31792000,99.43
2016-07-20,100.00,100.459999,99.739998,99.959999,26276000,99.959999
2016-07-19,99.559998,100.00,99.339996,99.870003,23779900,99.870003
2016-07-18,98.699997,100.129997,98.599998,99.830002,36493900,99.830002
2016-07-15,98.919998,99.300003,98.50,98.779999,30137000,98.779999
2016-07-14,97.389999,98.989998,97.32,98.790001,38919000,98.790001
2016-07-13,97.410004,97.669998,96.839996,96.870003,25892200,96.870003
2016-07-12,97.169998,97.699997,97.120003,97.419998,24167500,97.419998
2016-07-11,96.75,97.650002,96.730003,96.980003,23794900,96.980003
2016-07-08,96.489998,96.889999,96.050003,96.68,28912100,96.68
2016-07-07,95.699997,96.50,95.620003,95.940002,25139600,95.940002
2016-07-06,94.599998,95.660004,94.370003,95.529999,30949100,95.529999
2016-07-05,95.389999,95.400002,94.459999,94.989998,27705200,94.989998
2016-07-01,95.489998,96.470001,95.330002,95.889999,26026500,95.889999
2016-06-30,94.440002,95.769997,94.300003,95.599998,35836400,95.599998
